[0] :0.133575  
[1] :0.198842  
[2] :0.173060  
[3] :0.223217  
[4] :0.258613  
[5] :0.361742  
[6] :0.156015  
[7] :0.106594  
[8] :0.226223  
[9] :0.130997  
[10] :0.102794  
[11] :0.147190  
[12] :0.120375  
[13] :0.083716  
[14] :0.132186  
[15] :0.143533  
[16] :0.115022  
[17] :0.104942  
[18] :0.097452  
[19] :0.137033  
[20] :0.110448  
[21] :0.166304  
[22] :0.232198  
[23] :0.293382  
[24] :1.055535  
[25] :0.586257  
[26] :0.194606  
[27] :0.121068  
[28] :0.108160  
[29] :0.134298  
[30] :0.125147  
[31] :0.199803  
[32] :0.070507  
[33] :0.155158  
[34] :0.084104  
[35] :0.131078  
[36] :2.578000  
[37] :2.294700  
[38] :0.098806  
[39] :0.072137  
[40] :0.121173  
[41] :0.137171  
[42] :0.189773  
[43] :0.183275  
[44] :0.196407  
[45] :0.121580  
[46] :0.146827  
[47] :0.178301  
[48] :68500.000000  
