[0] :0.010313  
[1] :0.013937  
[2] :0.011679  
[3] :0.014437  
[4] :0.014814  
[5] :0.014220  
[6] :0.012675  
[7] :0.009010  
[8] :0.014130  
[9] :0.010727  
[10] :0.008542  
[11] :0.011725  
[12] :0.009607  
[13] :0.007821  
[14] :0.010961  
[15] :0.010516  
[16] :0.010748  
[17] :0.006151  
[18] :0.005764  
[19] :0.008856  
[20] :0.006954  
[21] :0.010373  
[22] :0.118929  
[23] :0.127575  
[24] :0.036203  
[25] :0.012794  
[26] :0.031097  
[27] :0.012177  
[28] :0.009529  
[29] :0.008559  
[30] :0.008284  
[31] :0.009574  
[32] :0.006607  
[33] :0.089221  
[34] :0.010457  
[35] :0.009272  
[36] :0.011003  
[37] :0.118185  
[38] :0.007380  
[39] :0.006156  
[40] :0.008579  
[41] :0.009985  
[42] :0.012444  
[43] :0.013114  
[44] :0.014007  
[45] :0.008373  
[46] :0.009521  
[47] :0.011213  
[48] :68500.000000  
