[0][0]:0.000000  [0][1]:0.000000  [0][2]:0.000000  [0][3]:0.000000  [0][4]:0.000000  [0][5]:0.000000  [0][6]:0.000000  [0][7]:0.000000  [0][8]:0.000000  [0][9]:0.000000  [0][10]:0.000000  [0][11]:0.000000  [0][12]:0.000000  [0][13]:0.000000  [0][14]:0.000000  [0][15]:0.000000  [0][16]:0.011278  [0][17]:0.011350  [0][18]:0.014961  [0][19]:0.033455  [0][20]:0.021667  [0][21]:0.033168  [0][22]:0.014980  [0][23]:0.021713  [0][24]:0.002250  [0][25]:0.002555  [0][26]:0.002678  [0][27]:0.004620  [0][28]:0.010164  [0][29]:0.115164  [0][30]:0.151897  [0][31]:0.004053  [0][32]:0.007132  [0][33]:0.011433  [0][34]:0.008547  [0][35]:0.006073  [0][36]:0.012134  [0][37]:0.013988  [0][38]:0.004554  [0][39]:0.005243  [0][40]:0.002246  [0][41]:0.002829  [0][42]:0.119869  [0][43]:0.004391  [0][44]:0.010293  [0][45]:0.002321  [0][46]:0.003892  [0][47]:0.145206  [0][48]:0.000000  
[1][0]:0.000000  [1][1]:0.000000  [1][2]:0.000000  [1][3]:0.000000  [1][4]:0.000000  [1][5]:0.000000  [1][6]:0.000000  [1][7]:0.000000  [1][8]:0.000000  [1][9]:0.000000  [1][10]:0.000000  [1][11]:0.000000  [1][12]:0.000000  [1][13]:0.000000  [1][14]:0.000000  [1][15]:0.000000  [1][16]:0.019941  [1][17]:0.017530  [1][18]:0.018914  [1][19]:0.031889  [1][20]:0.023034  [1][21]:0.036713  [1][22]:0.026550  [1][23]:0.033455  [1][24]:0.011481  [1][25]:0.021257  [1][26]:0.009920  [1][27]:0.011326  [1][28]:0.017262  [1][29]:0.044019  [1][30]:0.157471  [1][31]:0.089769  [1][32]:0.010864  [1][33]:0.016374  [1][34]:0.011989  [1][35]:0.019551  [1][36]:0.032322  [1][37]:0.024321  [1][38]:0.009842  [1][39]:0.010085  [1][40]:0.010638  [1][41]:0.011496  [1][42]:0.057327  [1][43]:0.016821  [1][44]:0.027778  [1][45]:0.010426  [1][46]:0.013699  [1][47]:0.040205  [1][48]:0.000000  
[2][0]:0.000000  [2][1]:0.000000  [2][2]:0.000000  [2][3]:0.000000  [2][4]:0.000000  [2][5]:0.000000  [2][6]:0.000000  [2][7]:0.000000  [2][8]:0.000000  [2][9]:0.000000  [2][10]:0.000000  [2][11]:0.000000  [2][12]:0.000000  [2][13]:0.000000  [2][14]:0.000000  [2][15]:0.000000  [2][16]:0.014229  [2][17]:0.014130  [2][18]:0.018024  [2][19]:0.035633  [2][20]:0.024983  [2][21]:0.035539  [2][22]:0.017724  [2][23]:0.024526  [2][24]:0.005765  [2][25]:0.006869  [2][26]:0.005994  [2][27]:0.009643  [2][28]:0.019992  [2][29]:0.100878  [2][30]:0.152599  [2][31]:0.012680  [2][32]:0.008681  [2][33]:0.013220  [2][34]:0.010275  [2][35]:0.008448  [2][36]:0.015227  [2][37]:0.016333  [2][38]:0.005892  [2][39]:0.007063  [2][40]:0.005924  [2][41]:0.006207  [2][42]:0.096464  [2][43]:0.009912  [2][44]:0.019497  [2][45]:0.006475  [2][46]:0.012244  [2][47]:0.153692  [2][48]:0.000000  
[3][0]:0.000000  [3][1]:0.000000  [3][2]:0.000000  [3][3]:0.000000  [3][4]:0.000000  [3][5]:0.000000  [3][6]:0.000000  [3][7]:0.000000  [3][8]:0.000000  [3][9]:0.000000  [3][10]:0.000000  [3][11]:0.000000  [3][12]:0.000000  [3][13]:0.000000  [3][14]:0.000000  [3][15]:0.000000  [3][16]:0.031244  [3][17]:0.027400  [3][18]:0.023207  [3][19]:0.024831  [3][20]:0.023118  [3][21]:0.027866  [3][22]:0.034279  [3][23]:0.033137  [3][24]:0.026527  [3][25]:0.043628  [3][26]:0.018036  [3][27]:0.015180  [3][28]:0.015883  [3][29]:0.020415  [3][30]:0.030392  [3][31]:0.047784  [3][32]:0.016565  [3][33]:0.016300  [3][34]:0.014441  [3][35]:0.084576  [3][36]:0.042717  [3][37]:0.022700  [3][38]:0.053061  [3][39]:0.025228  [3][40]:0.015713  [3][41]:0.015004  [3][42]:0.022322  [3][43]:0.016775  [3][44]:0.019678  [3][45]:0.015813  [3][46]:0.014807  [3][47]:0.017152  [3][48]:0.000000  
[4][0]:0.000000  [4][1]:0.000000  [4][2]:0.000000  [4][3]:0.000000  [4][4]:0.000000  [4][5]:0.000000  [4][6]:0.000000  [4][7]:0.000000  [4][8]:0.000000  [4][9]:0.000000  [4][10]:0.000000  [4][11]:0.000000  [4][12]:0.000000  [4][13]:0.000000  [4][14]:0.000000  [4][15]:0.000000  [4][16]:0.020712  [4][17]:0.015908  [4][18]:0.014298  [4][19]:0.022591  [4][20]:0.016331  [4][21]:0.029708  [4][22]:0.031132  [4][23]:0.036395  [4][24]:0.009770  [4][25]:0.039025  [4][26]:0.005727  [4][27]:0.004712  [4][28]:0.005733  [4][29]:0.010038  [4][30]:0.041440  [4][31]:0.338625  [4][32]:0.007274  [4][33]:0.013988  [4][34]:0.008953  [4][35]:0.041296  [4][36]:0.071900  [4][37]:0.025660  [4][38]:0.010088  [4][39]:0.007159  [4][40]:0.008676  [4][41]:0.009950  [4][42]:0.026419  [4][43]:0.014560  [4][44]:0.021141  [4][45]:0.007295  [4][46]:0.007210  [4][47]:0.013841  [4][48]:0.000000  
[5][0]:0.000000  [5][1]:0.000000  [5][2]:0.000000  [5][3]:0.000000  [5][4]:0.000000  [5][5]:0.000000  [5][6]:0.000000  [5][7]:0.000000  [5][8]:0.000000  [5][9]:0.000000  [5][10]:0.000000  [5][11]:0.000000  [5][12]:0.000000  [5][13]:0.000000  [5][14]:0.000000  [5][15]:0.000000  [5][16]:0.024122  [5][17]:0.017997  [5][18]:0.014226  [5][19]:0.018411  [5][20]:0.014223  [5][21]:0.024828  [5][22]:0.034700  [5][23]:0.034805  [5][24]:0.018998  [5][25]:0.132177  [5][26]:0.009586  [5][27]:0.006721  [5][28]:0.006502  [5][29]:0.007859  [5][30]:0.018860  [5][31]:0.120204  [5][32]:0.005550  [5][33]:0.008698  [5][34]:0.006662  [5][35]:0.145009  [5][36]:0.094407  [5][37]:0.018494  [5][38]:0.011415  [5][39]:0.006267  [5][40]:0.008881  [5][41]:0.010308  [5][42]:0.016369  [5][43]:0.013188  [5][44]:0.016816  [5][45]:0.007065  [5][46]:0.006200  [5][47]:0.009559  [5][48]:0.000000  
[6][0]:0.000000  [6][1]:0.000000  [6][2]:0.000000  [6][3]:0.000000  [6][4]:0.000000  [6][5]:0.000000  [6][6]:0.000000  [6][7]:0.000000  [6][8]:0.000000  [6][9]:0.000000  [6][10]:0.000000  [6][11]:0.000000  [6][12]:0.000000  [6][13]:0.000000  [6][14]:0.000000  [6][15]:0.000000  [6][16]:0.015922  [6][17]:0.014537  [6][18]:0.016683  [6][19]:0.031931  [6][20]:0.021361  [6][21]:0.036701  [6][22]:0.022156  [6][23]:0.030210  [6][24]:0.005165  [6][25]:0.007066  [6][26]:0.004834  [6][27]:0.005374  [6][28]:0.010641  [6][29]:0.041632  [6][30]:0.300628  [6][31]:0.027303  [6][32]:0.008605  [6][33]:0.014780  [6][34]:0.010103  [6][35]:0.012556  [6][36]:0.024421  [6][37]:0.020864  [6][38]:0.006811  [6][39]:0.006923  [6][40]:0.007777  [6][41]:0.009159  [6][42]:0.075114  [6][43]:0.014140  [6][44]:0.027986  [6][45]:0.007492  [6][46]:0.011177  [6][47]:0.044162  [6][48]:0.000000  
[7][0]:0.000000  [7][1]:0.000000  [7][2]:0.000000  [7][3]:0.000000  [7][4]:0.000000  [7][5]:0.000000  [7][6]:0.000000  [7][7]:0.000000  [7][8]:0.000000  [7][9]:0.000000  [7][10]:0.000000  [7][11]:0.000000  [7][12]:0.000000  [7][13]:0.000000  [7][14]:0.000000  [7][15]:0.000000  [7][16]:0.032655  [7][17]:0.036191  [7][18]:0.029831  [7][19]:0.018506  [7][20]:0.024048  [7][21]:0.016865  [7][22]:0.023322  [7][23]:0.018702  [7][24]:0.015632  [7][25]:0.014544  [7][26]:0.013712  [7][27]:0.012312  [7][28]:0.011732  [7][29]:0.010409  [7][30]:0.008039  [7][31]:0.009908  [7][32]:0.024992  [7][33]:0.010442  [7][34]:0.014434  [7][35]:0.013409  [7][36]:0.010717  [7][37]:0.009851  [7][38]:0.054979  [7][39]:0.079673  [7][40]:0.021302  [7][41]:0.015416  [7][42]:0.009919  [7][43]:0.011812  [7][44]:0.010715  [7][45]:0.025440  [7][46]:0.014991  [7][47]:0.009349  [7][48]:0.000000  
[8][0]:0.000000  [8][1]:0.000000  [8][2]:0.000000  [8][3]:0.000000  [8][4]:0.000000  [8][5]:0.000000  [8][6]:0.000000  [8][7]:0.000000  [8][8]:0.000000  [8][9]:0.000000  [8][10]:0.000000  [8][11]:0.000000  [8][12]:0.000000  [8][13]:0.000000  [8][14]:0.000000  [8][15]:0.000000  [8][16]:0.030729  [8][17]:0.023163  [8][18]:0.018172  [8][19]:0.019410  [8][20]:0.016449  [8][21]:0.024043  [8][22]:0.036719  [8][23]:0.033308  [8][24]:0.026411  [8][25]:0.067764  [8][26]:0.015542  [8][27]:0.010523  [8][28]:0.009693  [8][29]:0.010938  [8][30]:0.016621  [8][31]:0.056702  [8][32]:0.008354  [8][33]:0.010449  [8][34]:0.007948  [8][35]:0.246874  [8][36]:0.050219  [8][37]:0.015587  [8][38]:0.034042  [8][39]:0.012323  [8][40]:0.011362  [8][41]:0.012201  [8][42]:0.015689  [8][43]:0.013859  [8][44]:0.015709  [8][45]:0.009504  [8][46]:0.007921  [8][47]:0.010202  [8][48]:0.000000  
[9][0]:0.000000  [9][1]:0.000000  [9][2]:0.000000  [9][3]:0.000000  [9][4]:0.000000  [9][5]:0.000000  [9][6]:0.000000  [9][7]:0.000000  [9][8]:0.000000  [9][9]:0.000000  [9][10]:0.000000  [9][11]:0.000000  [9][12]:0.000000  [9][13]:0.000000  [9][14]:0.000000  [9][15]:0.000000  [9][16]:0.035990  [9][17]:0.032381  [9][18]:0.023310  [9][19]:0.016515  [9][20]:0.018722  [9][21]:0.017670  [9][22]:0.030270  [9][23]:0.023611  [9][24]:0.020956  [9][25]:0.024965  [9][26]:0.015551  [9][27]:0.011339  [9][28]:0.010117  [9][29]:0.009768  [9][30]:0.009454  [9][31]:0.015357  [9][32]:0.015402  [9][33]:0.008843  [9][34]:0.010273  [9][35]:0.042806  [9][36]:0.015124  [9][37]:0.009354  [9][38]:0.190432  [9][39]:0.051325  [9][40]:0.015492  [9][41]:0.013923  [9][42]:0.010492  [9][43]:0.012124  [9][44]:0.011622  [9][45]:0.014849  [9][46]:0.010568  [9][47]:0.008588  [9][48]:0.000000  
[10][0]:0.000000  [10][1]:0.000000  [10][2]:0.000000  [10][3]:0.000000  [10][4]:0.000000  [10][5]:0.000000  [10][6]:0.000000  [10][7]:0.000000  [10][8]:0.000000  [10][9]:0.000000  [10][10]:0.000000  [10][11]:0.000000  [10][12]:0.000000  [10][13]:0.000000  [10][14]:0.000000  [10][15]:0.000000  [10][16]:0.023166  [10][17]:0.030214  [10][18]:0.036544  [10][19]:0.024449  [10][20]:0.033338  [10][21]:0.018978  [10][22]:0.017806  [10][23]:0.016661  [10][24]:0.011166  [10][25]:0.009698  [10][26]:0.012071  [10][27]:0.013916  [10][28]:0.016185  [10][29]:0.015612  [10][30]:0.010361  [10][31]:0.007624  [10][32]:0.021182  [10][33]:0.011815  [10][34]:0.015327  [10][35]:0.008389  [10][36]:0.008958  [10][37]:0.010173  [10][38]:0.014285  [10][39]:0.024831  [10][40]:0.027144  [10][41]:0.015530  [10][42]:0.011457  [10][43]:0.010664  [10][44]:0.010436  [10][45]:0.067622  [10][46]:0.059681  [10][47]:0.019155  [10][48]:0.000000  
