[0][0]:1.000000  [0][1]:0.000000  [0][2]:0.000000  [0][3]:0.000000  [0][4]:0.000000  [0][5]:0.000000  [0][6]:0.000000  [0][7]:0.000000  [0][8]:0.000000  [0][9]:0.000000  [0][10]:0.000000  [0][11]:0.000000  [0][12]:0.000000  [0][13]:0.000000  [0][14]:0.000000  [0][15]:0.000000  [0][16]:-0.007894  [0][17]:-0.007945  [0][18]:-0.010473  [0][19]:-0.023419  [0][20]:-0.015167  [0][21]:-0.023218  [0][22]:-0.010486  [0][23]:-0.015199  [0][24]:-0.001575  [0][25]:-0.001789  [0][26]:-0.001875  [0][27]:-0.003234  [0][28]:-0.007114  [0][29]:-0.080615  [0][30]:-0.106328  [0][31]:-0.002837  [0][32]:-0.004992  [0][33]:-0.008003  [0][34]:-0.005983  [0][35]:-0.004251  [0][36]:-0.008494  [0][37]:-0.009791  [0][38]:-0.003188  [0][39]:-0.003670  [0][40]:-0.001572  [0][41]:-0.001980  [0][42]:-0.083908  [0][43]:-0.003074  [0][44]:-0.007205  [0][45]:-0.001624  [0][46]:-0.002725  [0][47]:-0.101644  [0][48]:0.000000  
[1][0]:0.000000  [1][1]:1.000000  [1][2]:0.000000  [1][3]:0.000000  [1][4]:0.000000  [1][5]:0.000000  [1][6]:0.000000  [1][7]:0.000000  [1][8]:0.000000  [1][9]:0.000000  [1][10]:0.000000  [1][11]:0.000000  [1][12]:0.000000  [1][13]:0.000000  [1][14]:0.000000  [1][15]:0.000000  [1][16]:-0.013959  [1][17]:-0.012271  [1][18]:-0.013240  [1][19]:-0.022322  [1][20]:-0.016124  [1][21]:-0.025699  [1][22]:-0.018585  [1][23]:-0.023419  [1][24]:-0.008037  [1][25]:-0.014880  [1][26]:-0.006944  [1][27]:-0.007928  [1][28]:-0.012083  [1][29]:-0.030813  [1][30]:-0.110230  [1][31]:-0.062838  [1][32]:-0.007605  [1][33]:-0.011461  [1][34]:-0.008393  [1][35]:-0.013686  [1][36]:-0.022625  [1][37]:-0.017024  [1][38]:-0.006890  [1][39]:-0.007059  [1][40]:-0.007447  [1][41]:-0.008047  [1][42]:-0.040129  [1][43]:-0.011775  [1][44]:-0.019445  [1][45]:-0.007298  [1][46]:-0.009589  [1][47]:-0.028143  [1][48]:0.000000  
[2][0]:0.000000  [2][1]:0.000000  [2][2]:1.000000  [2][3]:0.000000  [2][4]:0.000000  [2][5]:0.000000  [2][6]:0.000000  [2][7]:0.000000  [2][8]:0.000000  [2][9]:0.000000  [2][10]:0.000000  [2][11]:0.000000  [2][12]:0.000000  [2][13]:0.000000  [2][14]:0.000000  [2][15]:0.000000  [2][16]:-0.009960  [2][17]:-0.009891  [2][18]:-0.012617  [2][19]:-0.024943  [2][20]:-0.017488  [2][21]:-0.024877  [2][22]:-0.012407  [2][23]:-0.017168  [2][24]:-0.004036  [2][25]:-0.004809  [2][26]:-0.004196  [2][27]:-0.006750  [2][28]:-0.013994  [2][29]:-0.070615  [2][30]:-0.106819  [2][31]:-0.008876  [2][32]:-0.006077  [2][33]:-0.009254  [2][34]:-0.007193  [2][35]:-0.005914  [2][36]:-0.010659  [2][37]:-0.011433  [2][38]:-0.004124  [2][39]:-0.004944  [2][40]:-0.004146  [2][41]:-0.004345  [2][42]:-0.067525  [2][43]:-0.006938  [2][44]:-0.013648  [2][45]:-0.004532  [2][46]:-0.008571  [2][47]:-0.107585  [2][48]:0.000000  
[3][0]:0.000000  [3][1]:0.000000  [3][2]:0.000000  [3][3]:1.000000  [3][4]:0.000000  [3][5]:0.000000  [3][6]:0.000000  [3][7]:0.000000  [3][8]:0.000000  [3][9]:0.000000  [3][10]:0.000000  [3][11]:0.000000  [3][12]:0.000000  [3][13]:0.000000  [3][14]:0.000000  [3][15]:0.000000  [3][16]:-0.021871  [3][17]:-0.019180  [3][18]:-0.016245  [3][19]:-0.017382  [3][20]:-0.016182  [3][21]:-0.019506  [3][22]:-0.023995  [3][23]:-0.023196  [3][24]:-0.018569  [3][25]:-0.030540  [3][26]:-0.012625  [3][27]:-0.010626  [3][28]:-0.011118  [3][29]:-0.014290  [3][30]:-0.021275  [3][31]:-0.033449  [3][32]:-0.011595  [3][33]:-0.011410  [3][34]:-0.010108  [3][35]:-0.059203  [3][36]:-0.029902  [3][37]:-0.015890  [3][38]:-0.037142  [3][39]:-0.017659  [3][40]:-0.010999  [3][41]:-0.010503  [3][42]:-0.015625  [3][43]:-0.011742  [3][44]:-0.013774  [3][45]:-0.011069  [3][46]:-0.010365  [3][47]:-0.012006  [3][48]:0.000000  
[4][0]:0.000000  [4][1]:0.000000  [4][2]:0.000000  [4][3]:0.000000  [4][4]:1.000000  [4][5]:0.000000  [4][6]:0.000000  [4][7]:0.000000  [4][8]:0.000000  [4][9]:0.000000  [4][10]:0.000000  [4][11]:0.000000  [4][12]:0.000000  [4][13]:0.000000  [4][14]:0.000000  [4][15]:0.000000  [4][16]:-0.014498  [4][17]:-0.011136  [4][18]:-0.010009  [4][19]:-0.015814  [4][20]:-0.011432  [4][21]:-0.020795  [4][22]:-0.021793  [4][23]:-0.025477  [4][24]:-0.006839  [4][25]:-0.027317  [4][26]:-0.004009  [4][27]:-0.003299  [4][28]:-0.004013  [4][29]:-0.007027  [4][30]:-0.029008  [4][31]:-0.237037  [4][32]:-0.005092  [4][33]:-0.009792  [4][34]:-0.006267  [4][35]:-0.028907  [4][36]:-0.050330  [4][37]:-0.017962  [4][38]:-0.007061  [4][39]:-0.005011  [4][40]:-0.006073  [4][41]:-0.006965  [4][42]:-0.018493  [4][43]:-0.010192  [4][44]:-0.014799  [4][45]:-0.005106  [4][46]:-0.005047  [4][47]:-0.009689  [4][48]:0.000000  
[5][0]:0.000000  [5][1]:0.000000  [5][2]:0.000000  [5][3]:0.000000  [5][4]:0.000000  [5][5]:1.000000  [5][6]:0.000000  [5][7]:0.000000  [5][8]:0.000000  [5][9]:0.000000  [5][10]:0.000000  [5][11]:0.000000  [5][12]:0.000000  [5][13]:0.000000  [5][14]:0.000000  [5][15]:0.000000  [5][16]:-0.016886  [5][17]:-0.012598  [5][18]:-0.009958  [5][19]:-0.012888  [5][20]:-0.009956  [5][21]:-0.017379  [5][22]:-0.024290  [5][23]:-0.024364  [5][24]:-0.013299  [5][25]:-0.092524  [5][26]:-0.006710  [5][27]:-0.004705  [5][28]:-0.004552  [5][29]:-0.005501  [5][30]:-0.013202  [5][31]:-0.084143  [5][32]:-0.003885  [5][33]:-0.006089  [5][34]:-0.004664  [5][35]:-0.101506  [5][36]:-0.066085  [5][37]:-0.012946  [5][38]:-0.007991  [5][39]:-0.004387  [5][40]:-0.006217  [5][41]:-0.007216  [5][42]:-0.011458  [5][43]:-0.009232  [5][44]:-0.011771  [5][45]:-0.004946  [5][46]:-0.004340  [5][47]:-0.006691  [5][48]:0.000000  
[6][0]:0.000000  [6][1]:0.000000  [6][2]:0.000000  [6][3]:0.000000  [6][4]:0.000000  [6][5]:0.000000  [6][6]:1.000000  [6][7]:0.000000  [6][8]:0.000000  [6][9]:0.000000  [6][10]:0.000000  [6][11]:0.000000  [6][12]:0.000000  [6][13]:0.000000  [6][14]:0.000000  [6][15]:0.000000  [6][16]:-0.011146  [6][17]:-0.010176  [6][18]:-0.011678  [6][19]:-0.022352  [6][20]:-0.014953  [6][21]:-0.025690  [6][22]:-0.015509  [6][23]:-0.021147  [6][24]:-0.003615  [6][25]:-0.004946  [6][26]:-0.003384  [6][27]:-0.003762  [6][28]:-0.007449  [6][29]:-0.029142  [6][30]:-0.210440  [6][31]:-0.019112  [6][32]:-0.006023  [6][33]:-0.010346  [6][34]:-0.007072  [6][35]:-0.008789  [6][36]:-0.017094  [6][37]:-0.014605  [6][38]:-0.004768  [6][39]:-0.004846  [6][40]:-0.005444  [6][41]:-0.006412  [6][42]:-0.052580  [6][43]:-0.009898  [6][44]:-0.019590  [6][45]:-0.005244  [6][46]:-0.007824  [6][47]:-0.030914  [6][48]:0.000000  
[7][0]:0.000000  [7][1]:0.000000  [7][2]:0.000000  [7][3]:0.000000  [7][4]:0.000000  [7][5]:0.000000  [7][6]:0.000000  [7][7]:1.000000  [7][8]:0.000000  [7][9]:0.000000  [7][10]:0.000000  [7][11]:0.000000  [7][12]:0.000000  [7][13]:0.000000  [7][14]:0.000000  [7][15]:0.000000  [7][16]:-0.022858  [7][17]:-0.025334  [7][18]:-0.020882  [7][19]:-0.012954  [7][20]:-0.016834  [7][21]:-0.011806  [7][22]:-0.016325  [7][23]:-0.013091  [7][24]:-0.010942  [7][25]:-0.010181  [7][26]:-0.009598  [7][27]:-0.008619  [7][28]:-0.008213  [7][29]:-0.007286  [7][30]:-0.005627  [7][31]:-0.006936  [7][32]:-0.017494  [7][33]:-0.007310  [7][34]:-0.010104  [7][35]:-0.009386  [7][36]:-0.007502  [7][37]:-0.006896  [7][38]:-0.038485  [7][39]:-0.055771  [7][40]:-0.014912  [7][41]:-0.010791  [7][42]:-0.006943  [7][43]:-0.008269  [7][44]:-0.007500  [7][45]:-0.017808  [7][46]:-0.010493  [7][47]:-0.006545  [7][48]:0.000000  
[8][0]:0.000000  [8][1]:0.000000  [8][2]:0.000000  [8][3]:0.000000  [8][4]:0.000000  [8][5]:0.000000  [8][6]:0.000000  [8][7]:0.000000  [8][8]:1.000000  [8][9]:0.000000  [8][10]:0.000000  [8][11]:0.000000  [8][12]:0.000000  [8][13]:0.000000  [8][14]:0.000000  [8][15]:0.000000  [8][16]:-0.021510  [8][17]:-0.016214  [8][18]:-0.012721  [8][19]:-0.013587  [8][20]:-0.011514  [8][21]:-0.016830  [8][22]:-0.025703  [8][23]:-0.023316  [8][24]:-0.018487  [8][25]:-0.047435  [8][26]:-0.010880  [8][27]:-0.007366  [8][28]:-0.006785  [8][29]:-0.007657  [8][30]:-0.011634  [8][31]:-0.039691  [8][32]:-0.005848  [8][33]:-0.007314  [8][34]:-0.005563  [8][35]:-0.172812  [8][36]:-0.035153  [8][37]:-0.010911  [8][38]:-0.023830  [8][39]:-0.008626  [8][40]:-0.007953  [8][41]:-0.008540  [8][42]:-0.010983  [8][43]:-0.009701  [8][44]:-0.010996  [8][45]:-0.006653  [8][46]:-0.005544  [8][47]:-0.007141  [8][48]:0.000000  
[9][0]:0.000000  [9][1]:0.000000  [9][2]:0.000000  [9][3]:0.000000  [9][4]:0.000000  [9][5]:0.000000  [9][6]:0.000000  [9][7]:0.000000  [9][8]:0.000000  [9][9]:1.000000  [9][10]:0.000000  [9][11]:0.000000  [9][12]:0.000000  [9][13]:0.000000  [9][14]:0.000000  [9][15]:0.000000  [9][16]:-0.025193  [9][17]:-0.022667  [9][18]:-0.016317  [9][19]:-0.011561  [9][20]:-0.013106  [9][21]:-0.012369  [9][22]:-0.021189  [9][23]:-0.016527  [9][24]:-0.014669  [9][25]:-0.017476  [9][26]:-0.010886  [9][27]:-0.007937  [9][28]:-0.007082  [9][29]:-0.006838  [9][30]:-0.006618  [9][31]:-0.010750  [9][32]:-0.010781  [9][33]:-0.006190  [9][34]:-0.007191  [9][35]:-0.029964  [9][36]:-0.010587  [9][37]:-0.006548  [9][38]:-0.133303  [9][39]:-0.035928  [9][40]:-0.010845  [9][41]:-0.009746  [9][42]:-0.007344  [9][43]:-0.008487  [9][44]:-0.008135  [9][45]:-0.010394  [9][46]:-0.007398  [9][47]:-0.006012  [9][48]:0.000000  
[10][0]:0.000000  [10][1]:0.000000  [10][2]:0.000000  [10][3]:0.000000  [10][4]:0.000000  [10][5]:0.000000  [10][6]:0.000000  [10][7]:0.000000  [10][8]:0.000000  [10][9]:0.000000  [10][10]:1.000000  [10][11]:0.000000  [10][12]:0.000000  [10][13]:0.000000  [10][14]:0.000000  [10][15]:0.000000  [10][16]:-0.016216  [10][17]:-0.021150  [10][18]:-0.025581  [10][19]:-0.017114  [10][20]:-0.023336  [10][21]:-0.013285  [10][22]:-0.012465  [10][23]:-0.011663  [10][24]:-0.007816  [10][25]:-0.006788  [10][26]:-0.008450  [10][27]:-0.009741  [10][28]:-0.011329  [10][29]:-0.010928  [10][30]:-0.007253  [10][31]:-0.005337  [10][32]:-0.014827  [10][33]:-0.008270  [10][34]:-0.010729  [10][35]:-0.005872  [10][36]:-0.006270  [10][37]:-0.007121  [10][38]:-0.009999  [10][39]:-0.017382  [10][40]:-0.019001  [10][41]:-0.010871  [10][42]:-0.008020  [10][43]:-0.007465  [10][44]:-0.007305  [10][45]:-0.047335  [10][46]:-0.041776  [10][47]:-0.013409  [10][48]:0.000000  
